time,tavg,tmin,tmax,City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
2015-01-23,14.7,11.4,19.8,Delhi,2015-01-23,128.73,136.07,11.99,17.35,29.46,39.98,8.74,6.77,10.91,2.51,7.64,2.49,254.0
2015-01-24,12.5,10.3,19.8,Delhi,2015-01-24,164.98,200.02,10.38,15.77,25.49,38.77,9.39,8.89,9.35,2.6,5.5,2.94,324.0
2015-01-25,13.1,8.5,18.3,Delhi,2015-01-25,148.59,203.81,11.82,20.83,28.29,45.62,11.44,5.96,16.65,3.37,6.98,2.94,333.0
2015-01-26,13.7,11.6,18.3,Delhi,2015-01-26,129.34,137.86,12.46,25.66,29.48,60.96,10.19,6.78,18.18,3.0,5.87,2.51,292.0
2015-01-27,13.3,19.203502949852503,18.4,Delhi,2015-01-27,154.2,217.2,14.41,30.39,34.63,40.96,10.36,6.42,17.11,3.31,6.31,3.07,318.0
2015-01-28,12.6,7.9,18.4,Delhi,2015-01-28,134.6,156.9,18.96,28.6,35.57,49.71,10.21,5.21,15.23,3.27,6.86,2.63,295.0
2015-01-29,12.2,4.8,18.7,Delhi,2015-01-29,173.13,277.0,23.14,38.34,48.89,62.03,11.74,5.53,16.29,4.02,9.84,3.42,327.0
2015-01-30,12.7,6.2,19.6,Delhi,2015-01-30,178.04,272.61,19.8,38.43,44.45,69.78,11.58,6.43,14.91,3.65,6.61,3.35,345.0
2015-01-31,13.8,7.2,21.5,Delhi,2015-01-31,158.59,207.06,30.67,41.36,57.77,67.66,8.7,5.03,17.51,4.36,8.98,2.54,334.0
2015-02-01,15.1,6.7,24.0,Delhi,2015-02-01,211.59,371.05,57.56,58.17,93.17,96.69,13.08,9.9,23.28,6.65,15.45,3.36,358.0
2015-02-02,17.3,10.4,23.8,Delhi,2015-02-02,163.64,219.84,13.7,37.25,39.34,84.49,10.59,5.31,28.38,2.53,4.69,2.58,349.0
2015-02-03,16.7,19.203502949852503,23.8,Delhi,2015-02-03,157.71,194.09,12.28,31.05,34.1,66.38,8.21,5.64,28.56,2.13,4.24,1.12,334.0
2015-02-04,14.6,11.3,23.1,Delhi,2015-02-04,137.26,147.08,15.21,29.69,36.06,53.28,9.11,5.06,15.07,3.04,6.31,2.79,313.0
2015-02-05,14.4,9.6,22.6,Delhi,2015-02-05,131.76,127.42,23.15,36.51,47.4,51.24,8.18,4.85,21.7,4.92,10.17,3.33,262.0
2015-02-06,15.2,7.0,24.5,Delhi,2015-02-06,151.6,330.99,46.66,67.0,84.76,63.45,5.51,9.13,33.92,9.46,19.7,9.77,303.0
2015-02-07,15.7,7.4,25.6,Delhi,2015-02-07,160.75,210.52,37.54,57.69,71.68,58.15,10.28,6.91,43.44,5.5,14.95,6.68,329.0
2015-02-08,16.7,9.3,25.6,Delhi,2015-02-08,145.34,215.69,30.54,50.39,61.78,66.72,5.39,8.66,30.43,2.42,6.5,0.57,323.0
2015-02-09,16.9,10.5,25.5,Delhi,2015-02-09,134.67,109.86,19.95,39.18,44.48,74.29,5.11,9.7,20.62,2.59,3.17,1.24,266.0
2015-02-10,15.8,9.7,24.3,Delhi,2015-02-10,153.07,218.23,23.41,42.2,48.01,79.54,10.88,5.81,19.02,5.58,7.1,7.93,319.0
2015-02-11,16.1,8.3,24.3,Delhi,2015-02-11,116.91,316.14,33.79,53.63,64.04,95.13,12.64,7.54,27.17,5.96,5.59,10.72,334.0
2015-02-12,15.6,8.7,24.0,Delhi,2015-02-12,177.98,394.97,30.48,42.73,58.19,69.47,13.75,9.2,25.58,3.5,7.38,10.65,342.0
2015-02-13,17.2,9.3,25.5,Delhi,2015-02-13,167.01,328.43,32.23,44.61,55.13,83.96,11.26,7.77,27.62,3.53,7.69,11.45,341.0
2015-02-14,19.3,10.6,28.6,Delhi,2015-02-14,193.96,412.46,81.47,53.81,107.76,137.27,11.73,9.36,34.22,9.01,17.88,14.17,377.0
2015-02-15,18.9,11.2,28.6,Delhi,2015-02-15,184.06,497.37,44.16,58.15,75.98,61.89,13.78,9.13,40.91,4.79,8.98,12.44,391.0
2015-02-16,20.7,14.6,27.1,Delhi,2015-02-16,152.62,310.74,24.32,44.22,49.67,74.74,11.55,6.79,34.36,2.84,5.37,3.49,358.0
2015-02-17,20.7,16.2,27.6,Delhi,2015-02-17,161.27,195.78,23.71,25.4,42.76,75.66,10.3,5.6,41.62,3.04,5.62,3.78,327.0
2015-02-18,21.3,14.4,28.9,Delhi,2015-02-18,188.2,253.53,69.2,60.29,104.31,79.83,16.23,8.65,36.54,8.34,16.27,4.38,365.0
2015-02-19,22.9,17.0,29.3,Delhi,2015-02-19,159.97,193.78,24.53,40.51,47.8,81.44,13.11,5.08,31.88,3.11,6.12,3.49,352.0
2015-02-20,22.8,19.203502949852503,29.3,Delhi,2015-02-20,144.12,162.2,18.1,34.71,40.32,81.04,11.45,5.93,31.61,2.35,6.76,4.07,317.0
2015-02-21,21.9,15.2,29.1,Delhi,2015-02-21,155.38,191.03,35.51,45.11,57.91,69.59,14.21,12.24,30.11,4.69,16.48,9.41,320.0
2015-02-22,22.2,16.0,28.6,Delhi,2015-02-22,124.1,107.61,15.38,31.83,32.15,70.25,9.73,5.68,27.19,0.88,3.13,1.44,279.0
2015-02-23,21.6,16.6,28.6,Delhi,2015-02-23,141.39,157.01,21.95,38.23,42.71,36.38,9.29,9.43,36.86,2.02,11.23,10.87,281.0
2015-02-24,22.9,15.2,28.6,Delhi,2015-02-24,170.16,238.33,36.04,48.4,60.78,34.14,14.17,9.28,37.39,4.28,22.47,17.65,354.0
2015-02-25,23.2,19.203502949852503,28.6,Delhi,2015-02-25,148.19,169.57,14.79,29.28,34.14,34.91,14.13,5.94,31.57,2.06,6.92,1.75,340.0
2015-02-26,20.0,14.5,27.6,Delhi,2015-02-26,140.78,171.64,11.34,20.95,26.65,23.22,13.61,6.98,28.72,1.81,6.96,3.64,323.0
2015-02-27,19.2,11.1,27.6,Delhi,2015-02-27,130.42,163.67,13.85,24.75,31.46,22.36,12.78,12.12,34.08,2.14,8.56,4.34,315.0
2015-02-28,21.2,12.6,29.2,Delhi,2015-02-28,105.86,169.28,9.21,20.65,25.3,16.49,11.8,12.48,41.38,1.97,7.83,1.25,310.0
2015-03-01,17.3,15.2,19.0,Delhi,2015-03-01,71.83,98.89,8.49,21.42,19.55,12.44,11.62,10.99,22.51,1.38,4.63,2.6,324.0
2015-03-02,17.4,19.203502949852503,22.1,Delhi,2015-03-02,53.71,60.15,11.02,13.43,20.48,19.11,10.19,3.21,22.08,0.91,3.45,0.69,226.0
2015-03-03,16.1,12.8,22.1,Delhi,2015-03-03,83.49,112.1,16.23,23.75,30.88,16.04,11.72,5.07,20.83,2.13,8.11,2.41,266.0
2015-03-04,16.8,10.7,23.4,Delhi,2015-03-04,91.07,139.15,13.71,24.28,28.73,17.44,10.64,4.68,25.83,1.6,8.05,6.62,200.0
2015-03-05,18.8,9.7,27.1,Delhi,2015-03-05,106.57,196.19,25.97,31.12,45.48,28.86,9.36,5.97,32.88,3.27,15.12,10.65,275.0
2015-03-06,20.2,14.0,27.3,Delhi,2015-03-06,101.75,163.14,20.56,26.59,34.17,32.04,10.55,5.96,33.67,2.45,9.31,7.14,322.0
2015-03-07,18.6,12.5,27.3,Delhi,2015-03-07,77.57,90.54,12.07,19.15,24.66,16.83,9.48,5.18,23.09,1.68,6.31,1.25,216.0
2015-03-08,19.4,14.0,27.6,Delhi,2015-03-08,63.24,80.2,13.52,20.35,27.44,16.12,8.19,3.98,20.71,1.69,6.09,1.35,108.0
2015-03-09,18.1,13.3,24.1,Delhi,2015-03-09,76.62,117.38,10.49,18.21,22.84,15.2,9.02,4.2,22.85,1.12,4.32,1.97,197.0
2015-03-10,17.7,10.0,32.5387390670554,Delhi,2015-03-10,86.7,150.92,11.44,18.82,25.78,18.88,7.98,3.84,25.87,1.51,5.62,4.8,238.0
2015-03-11,18.3,12.2,26.0,Delhi,2015-03-11,104.29,176.2,14.94,25.63,32.66,29.48,10.76,6.3,29.62,2.32,7.74,1.91,274.0
2015-03-12,20.6,12.5,28.5,Delhi,2015-03-12,115.93,203.75,18.48,32.29,37.84,30.72,11.3,7.03,35.05,2.9,12.42,15.16,315.0
2015-03-13,21.3,14.2,28.3,Delhi,2015-03-13,108.66,173.89,15.61,30.75,37.02,23.31,10.23,10.65,34.05,3.41,14.88,9.81,307.0
2015-03-14,21.6,15.8,27.3,Delhi,2015-03-14,67.94,105.29,14.3,29.78,32.1,29.21,9.18,10.14,23.39,2.42,9.14,0.8,208.0
2015-03-15,17.7,19.203502949852503,27.3,Delhi,2015-03-15,38.89,46.68,9.49,17.76,21.45,30.59,8.23,4.25,22.0,1.03,4.45,1.38,165.0
2015-03-16,20.5,14.2,26.6,Delhi,2015-03-16,45.39,74.14,10.2,17.14,22.27,33.16,7.87,8.8,25.55,1.05,4.83,0.74,188.0
2015-03-17,20.7,14.5,26.9,Delhi,2015-03-17,55.55,104.33,12.18,20.96,25.28,39.8,10.45,7.19,23.11,1.55,6.39,4.07,217.0
2015-03-18,20.3,14.5,25.8,Delhi,2015-03-18,50.59,95.56,9.32,16.6,21.74,39.16,7.83,3.6,27.5,1.11,4.42,3.67,191.0
2015-03-19,21.1,14.0,28.3,Delhi,2015-03-19,69.51,136.67,14.05,23.77,30.29,36.77,7.89,4.97,27.07,3.23,8.67,7.55,240.0
2015-03-20,22.5,14.5,32.5387390670554,Delhi,2015-03-20,96.62,168.0,19.15,29.04,37.12,35.07,9.59,6.66,29.01,5.67,17.61,22.01,229.0
2015-03-21,24.9,15.8,31.7,Delhi,2015-03-21,96.28,172.91,20.18,29.21,37.78,32.01,8.82,7.31,25.97,7.79,16.65,17.47,248.0
2015-03-22,24.9,18.2,31.7,Delhi,2015-03-22,72.2,122.12,9.39,20.27,23.15,32.52,8.5,4.4,25.48,2.67,6.07,5.96,204.0
2015-03-23,24.8,19.0,32.8,Delhi,2015-03-23,78.47,131.42,12.57,23.04,28.5,32.13,8.6,4.07,27.1,5.45,13.55,10.98,271.0
2015-03-24,25.8,17.0,34.6,Delhi,2015-03-24,91.87,179.36,21.3,30.01,40.31,31.79,10.1,7.35,34.78,9.72,16.21,15.64,290.0
2015-03-25,26.8,18.5,35.1,Delhi,2015-03-25,107.26,201.08,21.52,33.82,42.98,27.92,11.69,11.82,45.78,4.93,11.03,9.98,340.0
2015-03-26,28.6,20.3,36.5,Delhi,2015-03-26,109.78,217.9,24.1,33.02,44.26,28.0,12.67,9.3,40.0,6.64,10.31,2.53,358.0
2015-03-27,27.7,19.203502949852503,35.6,Delhi,2015-03-27,62.27,117.81,12.01,24.76,27.71,27.34,9.29,10.91,31.08,4.14,4.26,2.0,287.0
2015-03-28,26.9,17.6,36.1,Delhi,2015-03-28,102.22,212.96,22.14,29.41,40.44,32.82,10.47,17.16,40.23,3.87,9.33,2.54,323.0
2015-03-29,25.0,19.203502949852503,36.1,Delhi,2015-03-29,104.36,202.01,23.55,33.86,43.2,37.35,14.42,16.92,32.84,3.96,9.87,2.51,360.0
2015-03-30,23.4,18.9,30.1,Delhi,2015-03-30,44.19,57.0,7.11,17.6,19.91,28.77,9.58,7.75,26.81,1.45,3.4,1.53,268.0
2015-03-31,25.1,19.0,30.8,Delhi,2015-03-31,55.66,78.64,10.22,20.13,26.74,30.62,9.56,9.34,34.15,2.01,4.89,1.8,283.0
2015-04-01,26.3,19.203502949852503,32.5387390670554,Delhi,2015-04-01,112.86,167.6,24.6,32.71,45.12,36.05,10.15,19.48,38.45,4.04,9.07,2.42,309.0
2015-04-02,28.7,21.0,34.7,Delhi,2015-04-02,78.51,112.78,9.82,20.54,27.51,31.04,6.72,14.37,35.54,2.17,4.2,2.32,249.0
2015-04-03,24.4,19.0,34.7,Delhi,2015-04-03,66.52,76.05,11.21,18.47,27.79,35.48,8.24,10.62,24.85,2.32,5.02,3.05,245.0
2015-04-04,21.0,17.0,30.4,Delhi,2015-04-04,62.56,86.11,10.66,24.96,30.36,28.46,5.52,12.94,27.98,2.39,6.04,2.45,229.0
2015-04-05,23.4,19.203502949852503,30.3,Delhi,2015-04-05,78.61,145.1,13.0,27.75,39.45,32.3,7.97,16.72,40.79,3.3,8.08,2.19,234.0
2015-04-06,25.1,17.4,31.4,Delhi,2015-04-06,119.7,195.47,34.3,32.83,59.96,44.66,11.01,16.63,30.32,5.7,14.32,2.64,343.0
2015-04-07,23.9,19.2,31.4,Delhi,2015-04-07,66.09,95.81,7.57,24.47,30.04,29.78,7.29,8.34,43.23,1.89,4.65,1.89,262.0
2015-04-08,25.2,18.2,32.2,Delhi,2015-04-08,95.34,120.2,11.64,34.72,37.7,24.84,9.28,17.99,61.68,2.72,7.17,2.06,308.0
2015-04-09,25.8,18.6,32.5,Delhi,2015-04-09,63.57,148.17,11.33,35.15,41.13,30.04,6.57,10.48,35.18,2.45,6.82,2.1,293.0
2015-04-10,27.1,18.3,34.7,Delhi,2015-04-10,96.56,203.67,17.46,52.77,62.06,30.32,4.63,15.8,59.88,3.47,9.68,2.29,290.0
2015-04-11,28.2,19.2,36.2,Delhi,2015-04-11,131.39,234.65,22.86,59.52,72.68,34.01,5.84,21.5,73.72,4.56,14.16,2.57,375.0
2015-04-12,24.3,20.2,36.2,Delhi,2015-04-12,75.35,91.73,9.63,45.3,40.75,28.79,7.73,13.08,49.21,1.98,6.71,1.85,293.0
2015-04-13,24.9,19.0,32.2,Delhi,2015-04-13,86.49,116.62,14.18,50.3,56.07,38.86,3.67,14.99,62.52,2.5,8.84,2.06,247.0
2015-04-14,26.4,20.0,32.5,Delhi,2015-04-14,77.07,132.68,13.41,42.65,50.06,36.68,6.85,14.04,55.44,2.13,7.25,2.0,232.0
2015-04-15,27.6,20.8,34.3,Delhi,2015-04-15,98.79,161.43,18.39,47.41,45.1,34.8,11.65,13.75,31.14,2.4,7.07,2.16,316.0
2015-04-16,25.2,19.203502949852503,34.3,Delhi,2015-04-16,81.81,164.56,18.2,44.06,58.92,37.84,5.94,21.44,59.29,2.64,10.67,2.37,295.0
2015-04-17,28.0,20.0,35.3,Delhi,2015-04-17,65.78,180.67,18.75,40.09,55.98,30.04,7.38,14.34,54.47,3.23,10.23,3.16,246.0
2015-04-18,30.2,21.8,38.0,Delhi,2015-04-18,119.82,268.65,26.27,51.11,66.92,28.99,8.21,17.21,65.72,4.32,13.89,4.52,378.0
2015-04-19,32.0,21.6,40.6,Delhi,2015-04-19,125.53,308.82,32.69,64.73,87.58,34.39,8.84,18.02,65.08,4.88,17.48,4.88,406.0
2015-04-20,32.8,26.0,40.6,Delhi,2015-04-20,121.51,336.63,18.14,60.41,68.41,33.63,6.75,20.98,87.04,3.08,10.2,4.6,392.0
2015-04-21,31.8,25.4,39.6,Delhi,2015-04-21,114.5,327.81,23.52,50.7,63.45,30.3,6.84,19.38,74.49,4.22,13.04,4.27,391.0
2015-04-22,30.8,21.0,38.6,Delhi,2015-04-22,101.83,279.41,26.26,55.27,72.67,24.36,7.36,19.29,69.41,4.74,14.52,3.72,368.0
2015-04-23,30.8,21.1,39.5,Delhi,2015-04-23,118.57,273.68,33.93,76.46,96.19,29.32,6.58,21.81,76.14,5.0,18.21,4.45,365.0
2015-04-24,31.1,22.7,39.5,Delhi,2015-04-24,143.22,313.53,42.58,88.61,108.55,36.5,6.42,26.89,89.42,5.63,22.15,4.61,383.0
2015-04-25,30.4,22.2,39.1,Delhi,2015-04-25,106.76,318.88,22.5,58.87,71.34,37.0,6.75,17.56,93.54,3.15,12.73,3.99,367.0
2015-04-26,28.8,22.8,37.1,Delhi,2015-04-26,65.36,160.3,13.17,31.23,38.68,32.83,8.44,12.67,77.43,1.9,6.65,2.72,334.0
2015-04-27,30.2,19.203502949852503,37.1,Delhi,2015-04-27,67.08,174.5,13.18,35.54,44.09,32.27,4.76,11.92,70.74,1.86,6.09,2.97,258.0
2015-04-28,31.1,24.0,37.1,Delhi,2015-04-28,81.37,141.25,11.98,34.88,43.91,29.46,4.67,13.97,70.42,1.66,6.08,2.79,234.0
2015-04-29,31.4,24.7,37.2,Delhi,2015-04-29,63.76,131.56,12.09,42.98,51.34,29.93,7.16,13.98,61.86,1.94,7.31,2.68,257.0
2015-04-30,32.7,25.2,39.4,Delhi,2015-04-30,60.56,171.42,12.0,43.9,48.72,29.08,7.33,12.85,60.18,2.03,6.47,2.71,259.0
2015-05-01,31.2,24.2,39.4,Delhi,2015-05-01,76.1,192.81,13.14,42.99,52.01,26.55,7.63,13.1,53.16,2.02,9.5,2.21,279.0
2015-05-02,30.2,19.203502949852503,37.6,Delhi,2015-05-02,72.66,206.1,25.56,62.09,76.22,26.99,9.46,16.16,43.06,3.47,15.83,1.088,312.0
2015-05-03,30.9,21.7,38.9,Delhi,2015-05-03,121.94,334.02,52.12,83.3,100.84,35.46,11.95,19.43,41.71,6.62,32.11,1.608,372.0
2015-05-04,30.8,22.0,39.5,Delhi,2015-05-04,108.98,326.71,52.0,85.5,112.64,31.33,8.08,17.53,37.7,6.19,26.87,0.6799999999999999,387.0
2015-05-05,32.3,21.3,40.8,Delhi,2015-05-05,145.99,366.85,75.13,107.85,150.76,35.82,6.65,26.0,50.27,7.43,35.57,0.0,408.0
2015-05-06,34.2,24.5,42.7,Delhi,2015-05-06,171.33,346.98,53.42,87.88,122.67,39.27,7.1,25.26,92.66,5.92,28.97,0.204,398.0
2015-05-07,35.7,27.6,42.7,Delhi,2015-05-07,117.76,343.12,19.74,63.18,73.07,35.52,9.64,24.63,75.6,3.99,12.65,1.422,403.0
2015-05-08,34.1,19.203502949852503,42.7,Delhi,2015-05-08,90.66,305.38,25.55,56.54,73.9,30.52,6.65,20.79,74.84,3.96,8.6,0.502,361.0
2015-05-09,35.0,25.7,42.6,Delhi,2015-05-09,106.4,285.38,43.33,63.57,96.25,34.25,9.35,18.15,76.38,4.09,11.93,0.0,378.0
2015-05-10,35.1,26.2,42.6,Delhi,2015-05-10,101.21,283.47,20.83,57.51,65.08,31.32,10.6,16.92,67.97,3.3,10.36,1.04,381.0
2015-05-11,34.4,28.2,42.3,Delhi,2015-05-11,97.57,336.82,11.91,42.7,48.43,36.11,8.79,15.11,87.93,2.21,5.94,0.0,388.0
2015-05-12,33.1,26.0,39.8,Delhi,2015-05-12,96.34,293.26,11.54,43.04,48.09,52.21,6.27,10.84,83.43,1.74,5.4,0.0,346.0
2015-05-13,28.2,19.203502949852503,38.7,Delhi,2015-05-13,83.42,174.52,10.5,48.61,45.79,56.95,8.14,9.08,55.62,2.29,7.15,0.038,328.0
2015-05-14,29.9,22.0,35.9,Delhi,2015-05-14,78.06,196.08,16.38,42.22,53.26,47.74,7.24,10.42,57.1,2.49,7.56,0.142,291.0
2015-05-15,28.7,24.2,35.8,Delhi,2015-05-15,97.87,240.34,27.46,63.55,81.14,44.08,10.81,15.02,77.87,3.2,11.05,0.502,396.0
2015-05-16,30.1,22.0,37.0,Delhi,2015-05-16,77.52,186.28,24.05,75.5,91.36,41.94,6.17,15.03,73.24,2.16,5.81,0.0,297.0
2015-05-17,33.2,24.8,40.3,Delhi,2015-05-17,97.16,188.39,15.83,57.63,65.15,43.23,8.4,20.15,70.29,1.68,4.74,0.0,345.0
2015-05-18,35.6,28.1,32.5387390670554,Delhi,2015-05-18,66.85,172.35,9.2,47.64,55.88,40.95,7.46,15.04,79.02,1.69,3.99,0.0,296.0
2015-05-19,31.4,19.203502949852503,41.5,Delhi,2015-05-19,89.85,240.31,16.42,75.47,70.51,40.32,8.04,14.58,79.55,1.82,5.59,0.0,319.0
2015-05-20,33.2,22.4,41.5,Delhi,2015-05-20,67.41,176.25,21.7,52.69,60.6,42.24,6.11,20.3,57.17,2.01,4.94,0.132,282.0
2015-05-21,35.8,27.0,42.6,Delhi,2015-05-21,75.54,335.13,27.16,53.03,63.55,56.95,8.25,14.85,42.61,2.16,5.19,0.0,352.0
2015-05-22,36.3,27.0,43.6,Delhi,2015-05-22,67.91,235.99,34.97,56.84,77.1,45.91,8.32,14.77,64.34,1.8,3.94,0.0,338.0
2015-05-23,37.3,29.3,44.5,Delhi,2015-05-23,69.02,313.73,38.94,52.79,75.32,36.5,7.06,10.73,66.63,1.52,3.62,0.0,321.0
2015-05-24,36.2,27.5,44.5,Delhi,2015-05-24,79.1,251.52,32.09,56.29,69.04,37.22,8.56,18.96,60.08,7.08,7.12,0.1639999999999999,295.0
2015-05-25,37.8,28.0,45.5,Delhi,2015-05-25,117.27,340.66,51.72,60.65,102.66,40.26,7.66,11.78,95.72,1.69,5.27,0.13,344.0
2015-05-26,36.7,28.0,45.5,Delhi,2015-05-26,96.09,311.08,24.98,51.77,70.51,33.51,5.25,9.9,79.4,1.59,3.57,0.0,337.0
2015-05-27,33.7,24.8,45.0,Delhi,2015-05-27,84.71,231.35,42.01,70.43,91.54,29.05,8.54,17.48,80.71,2.44,5.37,0.0,355.0
2015-05-28,35.1,19.203502949852503,41.1,Delhi,2015-05-28,182.76,436.17,54.87,72.67,100.54,35.74,6.89,14.33,83.33,2.5,6.62,0.13,371.0
2015-05-29,35.1,27.0,42.0,Delhi,2015-05-29,106.61,275.6,37.21,64.94,87.55,41.74,8.48,12.9,76.1,1.94,5.71,0.0,414.0
2015-05-30,35.3,27.6,42.6,Delhi,2015-05-30,92.68,239.12,47.05,65.26,103.71,40.66,7.59,17.68,69.95,2.59,7.66,0.13,366.0
2015-05-31,35.3,28.9,40.6,Delhi,2015-05-31,73.62,236.8,19.04,41.86,52.3,36.27,7.12,13.08,87.47,1.66,3.31,0.0,346.0
2015-06-01,30.0,19.203502949852503,40.6,Delhi,2015-06-01,49.42,175.39,15.74,48.55,61.72,35.12,5.03,9.96,72.89,1.26,3.71,0.132,289.0
2015-06-02,31.6,22.2,39.9,Delhi,2015-06-02,52.51,117.86,18.64,54.29,68.84,46.09,6.67,6.73,56.2,1.51,3.98,0.0,297.0
2015-06-03,28.7,23.6,34.1,Delhi,2015-06-03,65.28,137.7,24.46,65.25,91.72,54.47,4.98,6.31,41.92,1.8,5.8,0.0,268.0
2015-06-04,31.8,23.7,38.6,Delhi,2015-06-04,85.45,170.55,15.02,62.38,71.04,57.58,3.83,5.53,63.0,3.19,8.0,0.6659999999999999,259.0
2015-06-05,32.8,26.0,38.8,Delhi,2015-06-05,83.02,241.67,16.05,62.63,52.93,75.0,11.36,4.12,52.03,2.6,7.32,0.0,327.0
2015-06-06,33.3,25.8,38.8,Delhi,2015-06-06,44.54,119.29,11.64,46.37,46.37,71.88,11.94,7.37,37.09,2.38,6.02,0.0,384.0
2015-06-07,35.1,26.0,42.5,Delhi,2015-06-07,85.03,186.2,25.76,77.07,91.29,46.57,3.51,9.53,88.63,2.43,6.95,0.0,299.0
2015-06-08,36.3,27.7,42.9,Delhi,2015-06-08,137.7,269.3,52.45,109.34,109.95,50.63,1.56,10.44,86.2,2.82,9.42,0.13,282.0
2015-06-09,37.5,30.0,42.4,Delhi,2015-06-09,136.05,393.7,45.61,76.88,83.43,46.56,1.38,8.84,58.0,2.75,6.91,0.0,442.0
2015-06-10,36.7,31.6,42.4,Delhi,2015-06-10,63.77,166.31,12.93,31.27,34.21,43.33,2.58,5.91,56.84,1.83,3.83,0.348,309.0
2015-06-11,35.8,29.6,41.7,Delhi,2015-06-11,115.57,259.73,4.41,32.99,26.63,35.31,1.24,6.02,138.5,1.52,3.79,0.0,270.0
2015-06-12,35.8,29.0,41.6,Delhi,2015-06-12,83.29,180.06,14.51,36.36,37.13,40.11,1.19,5.52,68.6,1.86,4.5,0.348,239.0
2015-06-13,31.9,19.203502949852503,41.6,Delhi,2015-06-13,73.7,158.24,24.38,52.9,64.56,41.36,1.36,5.34,53.02,1.71,5.25,0.1639999999999999,214.0
2015-06-14,27.0,20.5,39.7,Delhi,2015-06-14,74.56,121.44,15.9,68.76,71.74,56.02,1.35,5.33,60.88,1.63,6.44,0.502,166.0
